,FIPS,population,HDR,RPD,MI,PF,UF,SR,ODR,OBF,BHF,poi_amount,AREA_SQMI,edge_len,RD,APD,NAME,state_pop,state_hd,SHDR
0,1001.0,56955.0,5.559160216897623,0.2304628726122524,72441.0,13.6,7.900000000000006,89.73795286669012,25.200185679470817,28.1,10.400000000000006,693.0,594.455837711,738639.5689999983,1242.547422604494,1.1657720490532186,"Autauga County, Alabama",3799401,204941,5.394034480698405
1,1003.0,224339.0,5.3871458788248505,0.6900085841046263,82801.0,9.2,9.700000000000003,90.6200076074553,35.59297138925609,32.5,9.0,4625.0,1589.83529375,2850778.1710000043,1793.1279939545022,2.909106382391884,"Baldwin County, Alabama",3799401,204941,5.394034480698405
2,1005.0,22295.0,6.323762550642945,0.0813552319187885,48768.0,26.5,10.400000000000006,86.23291416074358,36.56483040654318,11.2,24.299999999999997,406.0,885.007617849,1201140.0939999998,1357.208762698965,0.45875311331983554,"Barbour County, Alabama",3799401,204941,5.394034480698405
3,1007.0,21000.0,6.968111002921129,0.05462116871443,67979.0,16.9,10.0,107.52715332154585,26.79990740026237,11.9,19.5,230.0,622.469288011,765832.4179999994,1230.3135797222913,0.3694961413034976,"Bibb County, Alabama",3799401,204941,5.394034480698405
4,1009.0,58437.0,5.963712740760602,0.1860781376507983,68945.0,13.2,10.0,97.85145888594164,30.10261926218785,14.9,16.400000000000006,656.0,644.890375167,829848.5870000023,1286.8056633425576,1.0172271524910308,"Blount County, Alabama",3799401,204941,5.394034480698405
5,1011.0,10028.0,3.352750809061489,0.038534732668145,46563.0,30.9,10.099999999999994,115.66164154103853,25.752889467686796,11.7,22.400000000000006,143.0,622.814752776,639703.8790000005,1027.1174151683508,0.2296027821476975,"Bullock County, Alabama",3799401,204941,5.394034480698405
6,1013.0,18922.0,4.712509445627533,0.0810979679307951,62762.0,18.2,11.400000000000006,82.07629768605378,36.19947604790419,14.0,14.400000000000006,348.0,776.838207016,1060779.5700000022,1365.5090087222682,0.4479697276177258,"Butler County, Alabama",3799401,204941,5.394034480698405
7,1015.0,114999.0,7.719736138349082,0.6552354562647186,63358.0,17.5,11.200000000000003,89.14578371656796,29.01482152355487,19.5,14.799999999999997,1953.0,605.889068127,1558463.1590000044,2572.1922394436338,3.223362332707797,"Calhoun County, Alabama",3799401,204941,5.394034480698405
8,1017.0,34472.0,5.987649783136073,0.1676275522967976,54851.0,15.1,10.5,90.42486176244138,32.42795950155764,13.7,17.200000000000003,501.0,596.560640717,911361.5140000018,1527.6929984932394,0.839814037006956,"Chambers County, Alabama",3799401,204941,5.394034480698405
9,1019.0,24723.0,6.16011264205974,0.1481417574634155,60494.0,15.0,9.799999999999997,97.85096010347229,38.85901822498429,12.8,20.200000000000003,354.0,553.523877427,911145.3829999988,1646.0814431987403,0.639538806610355,"Cherokee County, Alabama",3799401,204941,5.394034480698405
10,1021.0,44511.0,6.808624059705029,0.1905211614235139,63189.0,15.7,12.400000000000006,94.45980188896567,27.308373864193342,13.5,18.200000000000003,579.0,692.836423071,987874.9969999988,1425.8416043158343,0.835695094425868,"Chilton County, Alabama",3799401,204941,5.394034480698405
11,1023.0,12679.0,6.559001288021402,0.031746770138233,59762.0,21.6,11.099999999999994,87.49767787479101,39.36757801712234,11.7,19.400000000000006,260.0,913.478753074,780476.1569999991,854.3999018844979,0.284626215032434,"Choctaw County, Alabama",3799401,204941,5.394034480698405
12,1025.0,23087.0,5.120330560053604,0.0726732518896979,59648.0,21.9,10.900000000000006,87.98152618872678,33.28123837166034,13.9,17.799999999999997,527.0,1238.41988159,930163.494,751.0889544229285,0.42554226384300925,"Clarke County, Alabama",3799401,204941,5.394034480698405
13,1027.0,13943.0,9.600951857953506,0.0496719870194752,56180.0,16.9,8.299999999999997,94.79408094134428,32.62927895120175,13.4,17.0,167.0,603.962148489,653478.8970000005,1081.9865096428346,0.2765073944084123,"Clay County, Alabama",3799401,204941,5.394034480698405
14,1029.0,14901.0,10.429394309652643,0.0464198495668951,63295.0,14.2,11.0,93.80920162381597,32.75402618468312,16.4,16.900000000000006,150.0,560.105218836,819225.4719999995,1462.62781429264,0.267806824424395,"Cleburne County, Alabama",3799401,204941,5.394034480698405
15,1031.0,51031.0,6.869313590031023,0.2680468341472366,70885.0,15.9,10.5,88.6817511067388,29.5999729711467,22.7,13.599999999999994,774.0,678.985821933,1474928.2079999982,2172.251850268442,1.139935437527259,"Coffee County, Alabama",3799401,204941,5.394034480698405
16,1033.0,56369.0,4.958043850942886,0.3103111878187458,64296.0,15.1,6.599999999999994,90.86408059585827,32.659046023101325,17.9,13.200000000000003,976.0,592.953161932,1002095.8549999994,1690.0084514852795,1.6459984745168252,"Colbert County, Alabama",3799401,204941,5.394034480698405
17,1035.0,11740.0,5.791796748842717,0.0470433826742334,52230.0,13.0,8.299999999999997,89.92026170517276,40.721102863202546,12.5,12.400000000000006,163.0,850.278991989,1018615.7709999976,1197.9782878290557,0.19170178439750127,"Conecuh County, Alabama",3799401,204941,5.394034480698405
18,1037.0,10027.0,8.894490457328052,0.0168994467099251,58052.0,11.1,6.599999999999994,92.53524381788768,41.22732666553653,11.2,14.900000000000006,79.0,650.908884108,661642.6299999999,1016.4903969727027,0.12136875364400798,"Coosa County, Alabama",3799401,204941,5.394034480698405
19,1039.0,37005.0,6.06885005754944,0.114499717332544,62652.0,18.0,11.099999999999994,89.46012026696624,36.502570938868786,15.8,14.799999999999997,696.0,1030.57022977,1520215.326999999,1475.1205527635673,0.6753542649444972,"Covington County, Alabama",3799401,204941,5.394034480698405
20,1041.0,13059.0,4.407219064712335,0.0443448334880794,63636.0,13.1,7.299999999999997,94.58672875436555,32.03001579778831,16.4,18.799999999999997,171.0,608.8646157,688117.0690000004,1130.1643275966783,0.28085061209117,"Crenshaw County, Alabama",3799401,204941,5.394034480698405
21,1043.0,86382.0,6.748291571753986,0.405586892680539,66258.0,12.2,10.900000000000006,96.5999823222651,30.470827467542627,16.5,15.799999999999997,1474.0,734.737747639,1276146.5000000012,1736.8734682555232,2.006157985943337,"Cullman County, Alabama",3799401,204941,5.394034480698405
22,1045.0,46407.0,7.574762217588758,0.256632875264309,62594.0,16.7,10.200000000000003,86.13961401456748,30.711218965839088,18.7,15.200000000000003,586.0,561.112834245,983686.336,1753.0989775409248,1.0443532285061465,"Dale County, Alabama",3799401,204941,5.394034480698405
23,1047.0,38924.0,4.737555028784287,0.1001289895883905,53127.0,24.3,9.900000000000006,81.02127137865506,31.302801244997774,16.1,14.099999999999994,672.0,978.737530488,1070360.084999998,1093.6129980285061,0.6865987857489636,"Dallas County, Alabama",3799401,204941,5.394034480698405
24,1049.0,70806.0,5.340151344871507,0.2612354711007076,54358.0,20.6,15.099999999999994,96.7205866096761,28.240974273978527,14.4,21.799999999999997,998.0,777.076708399,1426620.3989999965,1835.8810444071114,1.2843004933916564,"DeKalb County, Alabama",3799401,204941,5.394034480698405
25,1051.0,82063.0,6.061816148869899,0.4252123842868959,78881.0,10.3,8.599999999999994,83.5062727166139,26.602628918099093,24.6,12.400000000000006,1089.0,618.514440592,1059921.7720000015,1713.6572769190584,1.7606702908305312,"Elmore County, Alabama",3799401,204941,5.394034480698405
26,1053.0,34069.0,6.281846824069392,0.1248139044712734,50258.0,23.5,12.200000000000003,85.26338545795201,33.42848245796139,12.5,18.299999999999997,724.0,945.407488852,1070439.103999999,1132.2515599065368,0.7658073460779825,"Escambia County, Alabama",3799401,204941,5.394034480698405
27,1055.0,102752.0,5.048005173614565,0.6335202437393019,63456.0,16.0,12.200000000000003,91.45673603504929,31.19483104635416,18.0,13.799999999999997,1683.0,535.105236731,1210412.4229999993,2262.008180660881,3.145175723342906,"Etowah County, Alabama",3799401,204941,5.394034480698405
28,1057.0,16194.0,9.78586049441033,0.063726392847414,59148.0,21.3,10.599999999999994,94.51761102603369,35.77765900587921,11.8,17.0,221.0,627.683416756,694706.5870000015,1106.7786219212087,0.35208832048196287,"Fayette County, Alabama",3799401,204941,5.394034480698405
29,1059.0,31860.0,4.322026765423786,0.1246214207199089,54578.0,18.1,12.700000000000003,98.34724540901503,27.629176066172523,14.3,20.5,390.0,633.91991155,865790.5439999996,1365.7727549258577,0.6152196719084111,"Franklin County, Alabama",3799401,204941,5.394034480698405
30,1061.0,26326.0,8.705870831905205,0.0939973269723759,52450.0,23.5,11.900000000000006,93.36299943192577,34.10598200801103,13.5,17.5,310.0,574.484421412,1132757.133999999,1971.7804204609154,0.5396142844710473,"Geneva County, Alabama",3799401,204941,5.394034480698405
31,1063.0,7804.0,6.271604938271605,0.0324563521989868,48281.0,39.8,18.0,88.72320596458528,40.429958391123435,12.7,15.599999999999994,131.0,647.022803772,642441.238,992.9190041752927,0.2024658160984419,"Greene County, Alabama",3799401,204941,5.394034480698405
32,1065.0,14598.0,6.079928154467893,0.055901505008565,58114.0,24.9,7.099999999999994,85.33621837549934,33.09825484102319,15.8,18.700000000000003,191.0,643.989817349,532623.808,827.0686797386938,0.2965885404621089,"Hale County, Alabama",3799401,204941,5.394034480698405
33,1067.0,16879.0,7.399608963753948,0.0747646478716516,68781.0,14.4,9.0,92.25097585658523,38.232848232848234,21.6,18.700000000000003,207.0,561.762827695,1045092.0119999992,1860.3794350156163,0.368482907367426,"Henry County, Alabama",3799401,204941,5.394034480698405
34,1069.0,105318.0,5.193374269585025,0.7847186044957204,65905.0,17.7,11.400000000000006,87.9036010049316,30.0342890259019,22.2,12.200000000000003,2016.0,579.825681962,2310493.260999991,3984.806697733361,3.476907047611807,"Houston County, Alabama",3799401,204941,5.394034480698405
35,1071.0,52085.0,6.466242410942871,0.1400723891324141,55696.0,17.6,10.700000000000003,94.68812304186841,33.823865304923814,16.1,17.599999999999994,740.0,1078.014025,1991204.845000004,1847.1047674913173,0.68644746992044,"Jackson County, Alabama",3799401,204941,5.394034480698405
36,1073.0,666490.0,4.278246192556242,2.238354992435661,76043.0,15.9,9.099999999999994,86.32751786318782,25.563745630710738,34.7,9.0,12340.0,1111.53056973,4282760.401000023,3853.029793000062,11.101808925504844,"Jefferson County, Alabama",3799401,204941,5.394034480698405
37,1075.0,13773.0,8.52093023255814,0.0495993992440293,58434.0,16.3,7.099999999999994,94.25370437296712,38.03287108371854,10.0,17.5,165.0,604.846035582,1435361.4079999966,2373.102117828798,0.27279669584216143,"Lamar County, Alabama",3799401,204941,5.394034480698405
38,1077.0,92428.0,5.835712449429688,0.4625652491212822,68998.0,13.3,9.799999999999997,90.66869614570972,32.3596833697482,25.5,11.299999999999997,1611.0,668.013865259,1488768.7190000026,2228.649428440804,2.411626590078918,"Lauderdale County, Alabama",3799401,204941,5.394034480698405
39,1079.0,32819.0,7.084489971458733,0.110035832192895,65864.0,15.4,9.200000000000003,92.55439283294436,30.043725849094976,15.3,16.799999999999997,426.0,690.684102491,1214102.9550000036,1757.8266976484,0.6167797962391223,"Lawrence County, Alabama",3799401,204941,5.394034480698405
40,1081.0,170923.0,4.316139742282239,0.9365602411402228,80635.0,19.9,8.099999999999994,94.0106874638937,18.479286652966547,38.6,8.599999999999994,2187.0,607.542339516,1852808.717999999,3049.6783474811705,3.5997491166496784,"Lee County, Alabama",3799401,204941,5.394034480698405
41,1083.0,98204.0,5.790463078185814,0.3964550920873575,85127.0,11.5,8.099999999999994,94.0005650152811,24.716021661603488,28.4,13.5,1211.0,559.962539089,1526751.0550000032,2726.523559029263,2.1626446689990537,"Limestone County, Alabama",3799401,204941,5.394034480698405
42,1085.0,10210.0,7.8436349790582565,0.0265331713109691,47132.0,21.5,9.200000000000003,84.8662599718442,32.06503519946363,15.1,15.299999999999997,109.0,716.084774689,809474.8800000004,1130.4176664719066,0.1522166143629284,"Lowndes County, Alabama",3799401,204941,5.394034480698405
43,1087.0,19240.0,4.334696445423089,0.0772181823564207,52421.0,22.2,9.700000000000003,79.88909008601178,32.21593744801198,21.2,16.5,220.0,608.664935715,810659.2829999999,1331.8646030557302,0.3614468110300547,"Macon County, Alabama",3799401,204941,5.394034480698405
44,1089.0,376630.0,4.597618730558714,1.7390208853989588,92039.0,10.9,8.099999999999994,92.95116744847942,23.793320624400305,44.3,8.0,6450.0,801.600493533,2988310.994000006,3727.930581516021,8.046402231580549,"Madison County, Alabama",3799401,204941,5.394034480698405
45,1091.0,19196.0,7.333558634673876,0.0685844406054669,61146.0,22.3,10.299999999999997,86.7819719732357,33.14434845212383,19.7,13.400000000000006,384.0,976.89795832,913667.6840000006,935.27443293183,0.39308097302237793,"Marengo County, Alabama",3799401,204941,5.394034480698405
46,1093.0,28907.0,9.703824318971966,0.1118081692077236,57637.0,17.5,11.599999999999994,94.01468579234972,34.217365623154166,12.6,18.700000000000003,453.0,742.342894872,1461133.4849999975,1968.2730111560325,0.6102301283264918,"Marion County, Alabama",3799401,204941,5.394034480698405
47,1095.0,96370.0,5.021328798059497,0.5390170859719257,64724.0,17.7,11.900000000000006,96.85510428100987,28.507192633596674,21.4,16.5,1567.0,565.844771785,0.0,0.0,2.769310733501664,"Marshall County, Alabama",3799401,204941,5.394034480698405
